"Notes"	"County"	"County Code"	Avg Daily Max Air Temperature (C)	Avg Daily Min Air Temperature (C)
	"Montgomery County, AL"	"01101"	24.48	12.70
	"Morgan County, AL"	"01103"	22.01	11.34
	"Perry County, AL"	"01105"	24.45	12.09
	"Pickens County, AL"	"01107"	24.04	11.58
	"Pike County, AL"	"01109"	24.40	12.85
	"Randolph County, AL"	"01111"	22.55	11.56
	"Russell County, AL"	"01113"	24.45	12.85
	"St. Clair County, AL"	"01115"	22.53	11.60
	"Shelby County, AL"	"01117"	23.11	12.20
	"Sumter County, AL"	"01119"	24.55	11.93
	"Talladega County, AL"	"01121"	22.95	11.87
	"Tallapoosa County, AL"	"01123"	23.43	12.28
	"Tuscaloosa County, AL"	"01125"	23.76	11.94
	"Walker County, AL"	"01127"	23.13	11.92
	"Washington County, AL"	"01129"	25.47	12.72
	"Wilcox County, AL"	"01131"	25.20	12.38
	"Winston County, AL"	"01133"	22.20	11.66
	"Apache County, AZ"	"04001"	16.63	6.30
	"Cochise County, AZ"	"04003"	23.56	11.31
	"Coconino County, AZ"	"04005"	17.86	7.30
	"Gila County, AZ"	"04007"	21.60	10.07
	"Graham County, AZ"	"04009"	23.05	11.01
	"Greenlee County, AZ"	"04011"	20.60	9.03
	"La Paz County, AZ"	"04012"	28.12	16.64
	"Maricopa County, AZ"	"04013"	28.38	16.28
	"Mohave County, AZ"	"04015"	22.52	11.65
	"Navajo County, AZ"	"04017"	17.83	7.57
	"Pima County, AZ"	"04019"	26.60	14.46
	"Pinal County, AZ"	"04021"	27.53	15.29
	"Santa Cruz County, AZ"	"04023"	23.40	11.01
	"Yavapai County, AZ"	"04025"	21.54	10.52
	"Yuma County, AZ"	"04027"	29.28	16.84
	"Arkansas County, AR"	"05001"	23.92	12.23
	"Ashley County, AR"	"05003"	25.32	12.84
	"Baxter County, AR"	"05005"	20.93	10.08
	"Benton County, AR"	"05007"	20.49	9.33
	"Boone County, AR"	"05009"	20.31	9.69
	"Bradley County, AR"	"05011"	25.10	12.10
	"Calhoun County, AR"	"05013"	25.18	11.88
	"Carroll County, AR"	"05015"	19.92	9.19
	"Chicot County, AR"	"05017"	25.02	12.64
	"Clark County, AR"	"05019"	24.42	12.28
	"Clay County, AR"	"05021"	21.17	10.62
	"Cleburne County, AR"	"05023"	21.26	11.09
	"Cleveland County, AR"	"05025"	24.39	11.59
	"Columbia County, AR"	"05027"	25.58	12.27
	"Conway County, AR"	"05029"	22.18	11.38
	"Craighead County, AR"	"05031"	21.84	10.90
	"Crawford County, AR"	"05033"	22.01	10.97
	"Crittenden County, AR"	"05035"	22.74	11.34
	"Cross County, AR"	"05037"	22.61	11.18
	"Dallas County, AR"	"05039"	24.35	11.57
	"Desha County, AR"	"05041"	24.46	12.46
	"Drew County, AR"	"05043"	24.76	12.45
	"Faulkner County, AR"	"05045"	22.42	11.59
	"Franklin County, AR"	"05047"	22.33	10.92
	"Fulton County, AR"	"05049"	20.38	9.95
	"Garland County, AR"	"05051"	23.04	11.78
	"Grant County, AR"	"05053"	23.98	11.21
	"Greene County, AR"	"05055"	21.39	10.98
	"Hempstead County, AR"	"05057"	25.04	12.08
	"Hot Spring County, AR"	"05059"	23.76	11.83
	"Howard County, AR"	"05061"	24.10	12.08
	"Independence County, AR"	"05063"	21.70	11.36
	"Izard County, AR"	"05065"	20.96	10.57
	"Jackson County, AR"	"05067"	22.16	11.12
	"Jefferson County, AR"	"05069"	23.93	11.58
	"Johnson County, AR"	"05071"	21.41	10.90
	"Lafayette County, AR"	"05073"	25.73	12.17
	"Lawrence County, AR"	"05075"	21.39	10.70
	"Lee County, AR"	"05077"	23.39	11.91
	"Lincoln County, AR"	"05079"	24.32	12.07
	"Little River County, AR"	"05081"	25.26	12.13
	"Logan County, AR"	"05083"	22.93	10.76
	"Lonoke County, AR"	"05085"	23.29	11.49
	"Madison County, AR"	"05087"	19.55	9.50
	"Marion County, AR"	"05089"	20.89	9.74
	"Miller County, AR"	"05091"	25.76	11.91
	"Mississippi County, AR"	"05093"	21.98	10.90
	"Monroe County, AR"	"05095"	23.57	11.95
	"Montgomery County, AR"	"05097"	22.79	11.72
	"Nevada County, AR"	"05099"	25.07	12.52
	"Newton County, AR"	"05101"	19.73	9.99
	"Ouachita County, AR"	"05103"	25.09	11.95
	"Perry County, AR"	"05105"	22.85	11.58
	"Phillips County, AR"	"05107"	23.74	12.26
	"Pike County, AR"	"05109"	23.94	12.26
	"Poinsett County, AR"	"05111"	22.16	10.91
	"Polk County, AR"	"05113"	22.37	11.42
	"Pope County, AR"	"05115"	21.54	10.92
	"Prairie County, AR"	"05117"	23.33	11.61
	"Pulaski County, AR"	"05119"	23.15	11.71
	"Randolph County, AR"	"05121"	20.89	10.62
	"St. Francis County, AR"	"05123"	23.11	11.55
	"Saline County, AR"	"05125"	22.88	11.46
	"Scott County, AR"	"05127"	22.64	11.37
	"Searcy County, AR"	"05129"	20.40	10.38
	"Sebastian County, AR"	"05131"	23.15	11.05
	"Sevier County, AR"	"05133"	24.56	12.51
	"Sharp County, AR"	"05135"	20.74	10.48
	"Stone County, AR"	"05137"	20.64	10.57
	"Union County, AR"	"05139"	25.62	12.18
	"Van Buren County, AR"	"05141"	20.94	10.71
	"Washington County, AR"	"05143"	20.38	9.68
	"White County, AR"	"05145"	22.48	11.59
	"Woodruff County, AR"	"05147"	23.05	11.47
	"Yell County, AR"	"05149"	22.89	11.20
	"Alameda County, CA"	"06001"	21.20	9.99
	"Alpine County, CA"	"06003"	10.19	-0.10
	"Amador County, CA"	"06005"	19.99	9.29
	"Butte County, CA"	"06007"	20.58	9.69
	"Calaveras County, CA"	"06009"	19.68	8.35
	"Colusa County, CA"	"06011"	23.06	10.18
	"Contra Costa County, CA"	"06013"	21.46	9.11
	"Del Norte County, CA"	"06015"	11.06	6.41
	"El Dorado County, CA"	"06017"	16.09	6.03
	"Fresno County, CA"	"06019"	19.93	8.39
	"Glenn County, CA"	"06021"	21.89	10.34
	"Humboldt County, CA"	"06023"	15.19	7.47
	"Imperial County, CA"	"06025"	30.31	16.92
	"Inyo County, CA"	"06027"	21.27	10.42
	"Kern County, CA"	"06029"	24.04	11.99
	"Kings County, CA"	"06031"	26.89	13.38
	"Lake County, CA"	"06033"	19.05	8.40
	"Lassen County, CA"	"06035"	13.21	2.77
	"Los Angeles County, CA"	"06037"	22.06	11.40
	"Madera County, CA"	"06039"	19.97	8.28
	"Marin County, CA"	"06041"	17.17	8.20
	"Mariposa County, CA"	"06043"	18.50	7.78
	"Mendocino County, CA"	"06045"	17.82	7.68
	"Merced County, CA"	"06047"	25.39	11.44
	"Modoc County, CA"	"06049"	13.42	2.87
	"Mono County, CA"	"06051"	10.89	1.11
	"Monterey County, CA"	"06053"	20.99	10.17
	"Napa County, CA"	"06055"	21.43	10.58
	"Nevada County, CA"	"06057"	14.74	4.67
	"Orange County, CA"	"06059"	20.83	12.90
	"Placer County, CA"	"06061"	17.24	6.26
	"Plumas County, CA"	"06063"	13.24	2.63
	"Riverside County, CA"	"06065"	26.25	14.05
	"Sacramento County, CA"	"06067"	24.16	8.99
	"San Benito County, CA"	"06069"	21.93	9.64
	"San Bernardino County, CA"	"06071"	25.14	13.46
	"San Diego County, CA"	"06073"	22.38	12.06
	"San Francisco County, CA"	"06075"	12.45	11.03
	"San Joaquin County, CA"	"06077"	24.57	9.30
	"San Luis Obispo County, CA"	"06079"	21.61	10.72
	"San Mateo County, CA"	"06081"	18.38	9.32
	"Santa Barbara County, CA"	"06083"	21.06	11.08
	"Santa Clara County, CA"	"06085"	21.73	9.76
	"Santa Cruz County, CA"	"06087"	21.07	8.90
	"Shasta County, CA"	"06089"	18.04	7.19
	"Sierra County, CA"	"06091"	13.21	2.87
	"Siskiyou County, CA"	"06093"	14.23	3.26
	"Solano County, CA"	"06095"	22.99	9.14
	"Sonoma County, CA"	"06097"	17.88	9.58
	"Stanislaus County, CA"	"06099"	24.57	11.60
	"Sutter County, CA"	"06101"	24.46	9.78
	"Tehama County, CA"	"06103"	19.81	8.99
	"Trinity County, CA"	"06105"	15.57	4.90
	"Tulare County, CA"	"06107"	18.77	7.49
	"Tuolumne County, CA"	"06109"	14.18	4.06
	"Ventura County, CA"	"06111"	21.86	9.68
	"Yolo County, CA"	"06113"	23.60	10.09
	"Yuba County, CA"	"06115"	21.71	10.28
	"Adams County, CO"	"08001"	18.09	5.85
	"Alamosa County, CO"	"08003"	13.65	2.81
	"Arapahoe County, CO"	"08005"	17.36	5.52
	"Archuleta County, CO"	"08007"	10.79	0.83
	"Baca County, CO"	"08009"	20.84	8.19
	"Bent County, CO"	"08011"	20.96	8.09
	"Boulder County, CO"	"08013"	13.65	2.39
	"Chaffee County, CO"	"08015"	7.39	-2.88
	"Cheyenne County, CO"	"08017"	19.11	6.83
	"Clear Creek County, CO"	"08019"	5.43	-4.71
	"Conejos County, CO"	"08021"	10.89	0.44
	"Costilla County, CO"	"08023"	10.98	0.42
	"Crowley County, CO"	"08025"	20.54	7.42
	"Custer County, CO"	"08027"	10.99	0.16
	"Delta County, CO"	"08029"	13.13	2.13
	"Denver County, CO"	"08031"	17.87	5.83
	"Dolores County, CO"	"08033"	9.89	0.41
	"Douglas County, CO"	"08035"	14.57	3.08
	"Eagle County, CO"	"08037"	7.66	-2.83
	"Elbert County, CO"	"08039"	16.46	4.87
	"El Paso County, CO"	"08041"	16.27	4.88
	"Fremont County, CO"	"08043"	13.72	2.16
	"Garfield County, CO"	"08045"	10.40	-0.01
	"Gilpin County, CO"	"08047"	9.05	-1.53
	"Grand County, CO"	"08049"	6.88	-3.22
	"Gunnison County, CO"	"08051"	7.31	-2.64
	"Hinsdale County, CO"	"08053"	4.86	-5.00
	"Huerfano County, CO"	"08055"	14.64	3.26
	"Jackson County, CO"	"08057"	7.43	-2.96
	"Jefferson County, CO"	"08059"	14.08	2.77
	"Kiowa County, CO"	"08061"	20.06	7.23
	"Kit Carson County, CO"	"08063"	18.47	6.50
	"Lake County, CO"	"08065"	3.84	-5.95
	"La Plata County, CO"	"08067"	11.37	1.76
	"Larimer County, CO"	"08069"	10.76	0.48
	"Las Animas County, CO"	"08071"	18.00	6.22
	"Lincoln County, CO"	"08073"	18.26	6.25
	"Logan County, CO"	"08075"	17.67	5.48
	"Mesa County, CO"	"08077"	13.22	2.41
	"Mineral County, CO"	"08079"	5.67	-4.45
	"Moffat County, CO"	"08081"	12.02	2.25
	"Montezuma County, CO"	"08083"	14.11	4.64
	"Montrose County, CO"	"08085"	12.95	2.70
	"Morgan County, CO"	"08087"	18.48	5.61
	"Otero County, CO"	"08089"	21.00	8.01
	"Ouray County, CO"	"08091"	8.14	-1.57
	"Park County, CO"	"08093"	7.93	-2.89
	"Phillips County, CO"	"08095"	17.89	5.72
	"Pitkin County, CO"	"08097"	5.84	-4.10
	"Prowers County, CO"	"08099"	21.02	7.66
	"Pueblo County, CO"	"08101"	19.63	7.59
	"Rio Blanco County, CO"	"08103"	11.50	1.68
	"Rio Grande County, CO"	"08105"	10.06	-0.62
	"Routt County, CO"	"08107"	8.82	-1.31
	"Saguache County, CO"	"08109"	9.61	-1.13
	"San Juan County, CO"	"08111"	3.38	-5.94
	"San Miguel County, CO"	"08113"	10.56	0.91
	"Sedgwick County, CO"	"08115"	17.60	5.50
	"Summit County, CO"	"08117"	4.79	-5.13
	"Teller County, CO"	"08119"	10.15	-1.32
	"Washington County, CO"	"08121"	17.95	5.87
	"Weld County, CO"	"08123"	17.58	5.40
	"Yuma County, CO"	"08125"	18.54	6.19
	"Fairfield County, CT"	"09001"	15.06	6.83
	"Hartford County, CT"	"09003"	14.67	6.36
	"Litchfield County, CT"	"09005"	13.53	5.31
	"Middlesex County, CT"	"09007"	14.30	7.16
	"New Haven County, CT"	"09009"	14.63	6.93
	"New London County, CT"	"09011"	14.60	6.88
	"Tolland County, CT"	"09013"	14.05	5.91
	"Windham County, CT"	"09015"	14.15	5.99
	"Kent County, DE"	"10001"	17.21	9.78
	"New Castle County, DE"	"10003"	17.23	8.50
	"Sussex County, DE"	"10005"	17.43	10.33
	"District of Columbia, DC"	"11001"	18.41	8.73
	"Alachua County, FL"	"12001"	26.74	15.05
	"Baker County, FL"	"12003"	26.34	14.71
	"Bay County, FL"	"12005"	25.24	15.52
	"Bradford County, FL"	"12007"	26.48	15.39
	"Brevard County, FL"	"12009"	27.09	18.85
	"Broward County, FL"	"12011"	28.65	20.24
	"Calhoun County, FL"	"12013"	25.70	14.37
	"Charlotte County, FL"	"12015"	27.82	18.87
	"Citrus County, FL"	"12017"	26.98	16.42
	"Clay County, FL"	"12019"	26.34	15.92
	"Collier County, FL"	"12021"	28.64	19.49
	"Columbia County, FL"	"12023"	26.39	14.49
	"Dade County, FL"	"12025"	28.40	20.94
	"DeSoto County, FL"	"12027"	28.73	17.17
	"Dixie County, FL"	"12029"	25.58	16.02
	"Duval County, FL"	"12031"	25.81	16.21
	"Escambia County, FL"	"12033"	24.36	15.18
	"Flagler County, FL"	"12035"	26.47	16.81
	"Franklin County, FL"	"12037"	24.53	16.21
	"Gadsden County, FL"	"12039"	25.33	13.75
	"Gilchrist County, FL"	"12041"	26.40	14.82
	"Glades County, FL"	"12043"	28.97	18.21
	"Gulf County, FL"	"12045"	25.36	15.57
	"Hamilton County, FL"	"12047"	26.23	14.37
	"Hardee County, FL"	"12049"	28.60	16.98
	"Hendry County, FL"	"12051"	29.15	18.42
	"Hernando County, FL"	"12053"	26.69	17.31
	"Highlands County, FL"	"12055"	28.92	17.40
	"Hillsborough County, FL"	"12057"	27.90	17.19
	"Holmes County, FL"	"12059"	25.78	13.50
	"Indian River County, FL"	"12061"	28.02	18.87
	"Jackson County, FL"	"12063"	25.76	13.57
	"Jefferson County, FL"	"12065"	25.64	14.06
	"Lafayette County, FL"	"12067"	26.13	14.57
	"Lake County, FL"	"12069"	27.71	16.30
	"Lee County, FL"	"12071"	27.50	19.79
	"Leon County, FL"	"12073"	25.49	13.92
	"Levy County, FL"	"12075"	26.22	15.91
	"Liberty County, FL"	"12077"	25.41	14.56
	"Madison County, FL"	"12079"	25.99	14.03
	"Manatee County, FL"	"12081"	27.92	17.84
	"Marion County, FL"	"12083"	27.14	15.85
	"Martin County, FL"	"12085"	27.64	20.02
	"Monroe County, FL"	"12087"	28.03	21.19
	"Nassau County, FL"	"12089"	26.09	15.25
	"Okaloosa County, FL"	"12091"	24.87	14.77
	"Okeechobee County, FL"	"12093"	28.51	18.18
	"Orange County, FL"	"12095"	27.85	16.88
	"Osceola County, FL"	"12097"	28.23	17.19
	"Palm Beach County, FL"	"12099"	28.26	19.92
	"Pasco County, FL"	"12101"	27.21	17.26
	"Pinellas County, FL"	"12103"	24.78	20.56
	"Polk County, FL"	"12105"	28.28	16.70
	"Putnam County, FL"	"12107"	26.78	15.86
	"St. Johns County, FL"	"12109"	26.01	16.79
	"St. Lucie County, FL"	"12111"	27.28	20.12
	"Santa Rosa County, FL"	"12113"	24.55	15.16
	"Sarasota County, FL"	"12115"	27.72	18.39
	"Seminole County, FL"	"12117"	27.65	16.89
	"Sumter County, FL"	"12119"	27.53	16.15
	"Suwannee County, FL"	"12121"	26.27	14.38
	"Taylor County, FL"	"12123"	25.11	15.97
	"Union County, FL"	"12125"	26.42	14.82
	"Volusia County, FL"	"12127"	27.05	17.07
	"Wakulla County, FL"	"12129"	25.17	14.73
	"Walton County, FL"	"12131"	25.20	14.54
	"Washington County, FL"	"12133"	25.82	13.97
	"Appling County, GA"	"13001"	25.61	13.57
	"Atkinson County, GA"	"13003"	25.78	13.53
	"Bacon County, GA"	"13005"	25.83	13.52
	"Baker County, GA"	"13007"	25.43	13.71
	"Baldwin County, GA"	"13009"	24.09	12.31
	"Banks County, GA"	"13011"	22.03	11.63
	"Barrow County, GA"	"13013"	22.22	11.84
	"Bartow County, GA"	"13015"	22.09	11.23
	"Ben Hill County, GA"	"13017"	25.10	13.49
	"Berrien County, GA"	"13019"	25.51	13.50
	"Bibb County, GA"	"13021"	24.25	12.53
	"Bleckley County, GA"	"13023"	24.64	12.96
	"Brantley County, GA"	"13025"	25.96	14.62
	"Brooks County, GA"	"13027"	25.64	13.85
	"Bryan County, GA"	"13029"	25.08	14.36
	"Bulloch County, GA"	"13031"	25.07	13.23
	"Burke County, GA"	"13033"	24.53	12.52
	"Butts County, GA"	"13035"	23.05	12.33
	"Calhoun County, GA"	"13037"	25.15	13.64
	"Camden County, GA"	"13039"	25.74	15.55
	"Candler County, GA"	"13043"	25.12	13.20
	"Carroll County, GA"	"13045"	22.10	11.49
	"Catoosa County, GA"	"13047"	21.47	11.40
	"Charlton County, GA"	"13049"	26.25	14.53
	"Chatham County, GA"	"13051"	24.79	14.99
	"Chattahoochee County, GA"	"13053"	24.23	13.61
	"Chattooga County, GA"	"13055"	21.72	11.46
	"Cherokee County, GA"	"13057"	21.61	11.23
	"Clarke County, GA"	"13059"	22.77	11.90
	"Clay County, GA"	"13061"	24.98	13.65
	"Clayton County, GA"	"13063"	22.50	11.79
	"Clinch County, GA"	"13065"	26.10	13.99
	"Cobb County, GA"	"13067"	22.10	11.27
	"Coffee County, GA"	"13069"	25.55	13.33
	"Colquitt County, GA"	"13071"	25.28	13.75
	"Columbia County, GA"	"13073"	23.85	12.31
	"Cook County, GA"	"13075"	25.52	13.53
	"Coweta County, GA"	"13077"	22.67	11.85
	"Crawford County, GA"	"13079"	24.08	12.76
	"Crisp County, GA"	"13081"	24.91	13.31
	"Dade County, GA"	"13083"	20.67	10.72
	"Dawson County, GA"	"13085"	19.98	10.71
	"Decatur County, GA"	"13087"	25.56	13.65
	"DeKalb County, GA"	"13089"	22.27	11.58
	"Dodge County, GA"	"13091"	24.99	13.11
	"Dooly County, GA"	"13093"	24.84	13.24
	"Dougherty County, GA"	"13095"	25.27	13.81
	"Douglas County, GA"	"13097"	22.27	11.36
	"Early County, GA"	"13099"	25.35	13.51
	"Echols County, GA"	"13101"	26.08	14.26
	"Effingham County, GA"	"13103"	25.17	13.24
	"Elbert County, GA"	"13105"	22.95	12.03
	"Emanuel County, GA"	"13107"	24.80	12.95
	"Evans County, GA"	"13109"	25.34	13.47
	"Fannin County, GA"	"13111"	18.67	9.66
	"Fayette County, GA"	"13113"	22.65	11.93
	"Floyd County, GA"	"13115"	22.40	11.56
	"Forsyth County, GA"	"13117"	21.37	11.43
	"Franklin County, GA"	"13119"	22.20	11.99
	"Fulton County, GA"	"13121"	22.19	11.51
	"Gilmer County, GA"	"13123"	19.55	10.34
	"Glascock County, GA"	"13125"	23.87	12.28
	"Glynn County, GA"	"13127"	25.11	15.95
	"Gordon County, GA"	"13129"	22.07	11.41
	"Grady County, GA"	"13131"	25.36	13.66
	"Greene County, GA"	"13133"	23.31	12.16
	"Gwinnett County, GA"	"13135"	21.96	11.89
	"Habersham County, GA"	"13137"	20.32	10.76
	"Hall County, GA"	"13139"	21.52	11.23
	"Hancock County, GA"	"13141"	23.84	12.15
	"Haralson County, GA"	"13143"	21.64	11.59
	"Harris County, GA"	"13145"	23.23	12.91
	"Hart County, GA"	"13147"	22.41	11.77
	"Heard County, GA"	"13149"	22.90	12.13
	"Henry County, GA"	"13151"	22.74	12.11
	"Houston County, GA"	"13153"	24.59	12.96
	"Irwin County, GA"	"13155"	25.20	13.64
	"Jackson County, GA"	"13157"	22.33	11.80
	"Jasper County, GA"	"13159"	23.46	12.34
	"Jeff Davis County, GA"	"13161"	25.49	13.28
	"Jefferson County, GA"	"13163"	24.33	12.55
	"Jenkins County, GA"	"13165"	24.80	12.79
	"Johnson County, GA"	"13167"	24.46	12.99
	"Jones County, GA"	"13169"	23.92	12.16
	"Lamar County, GA"	"13171"	23.28	12.40
	"Lanier County, GA"	"13173"	25.72	13.51
	"Laurens County, GA"	"13175"	24.72	13.12
	"Lee County, GA"	"13177"	25.06	13.53
	"Liberty County, GA"	"13179"	24.94	15.04
	"Lincoln County, GA"	"13181"	23.53	12.13
	"Long County, GA"	"13183"	25.62	14.07
	"Lowndes County, GA"	"13185"	25.83	13.73
	"Lumpkin County, GA"	"13187"	19.67	10.52
	"McDuffie County, GA"	"13189"	23.63	11.98
	"McIntosh County, GA"	"13191"	24.62	16.63
	"Macon County, GA"	"13193"	24.49	13.13
	"Madison County, GA"	"13195"	22.51	12.00
	"Marion County, GA"	"13197"	23.98	13.36
	"Meriwether County, GA"	"13199"	22.90	12.42
	"Miller County, GA"	"13201"	25.53	13.53
	"Mitchell County, GA"	"13205"	25.36	13.93
	"Monroe County, GA"	"13207"	23.71	12.37
	"Montgomery County, GA"	"13209"	25.19	13.03
	"Morgan County, GA"	"13211"	23.16	12.02
	"Murray County, GA"	"13213"	21.01	11.20
	"Muscogee County, GA"	"13215"	24.10	13.56
	"Newton County, GA"	"13217"	22.96	11.95
	"Oconee County, GA"	"13219"	22.85	11.85
	"Oglethorpe County, GA"	"13221"	22.97	11.98
	"Paulding County, GA"	"13223"	22.02	11.16
	"Peach County, GA"	"13225"	24.39	12.84
	"Pickens County, GA"	"13227"	20.79	10.77
	"Pierce County, GA"	"13229"	25.96	13.89
	"Pike County, GA"	"13231"	22.89	12.30
	"Polk County, GA"	"13233"	22.11	11.36
	"Pulaski County, GA"	"13235"	24.85	13.20
	"Putnam County, GA"	"13237"	23.74	12.28
	"Quitman County, GA"	"13239"	24.78	13.29
	"Rabun County, GA"	"13241"	18.33	9.49
	"Randolph County, GA"	"13243"	24.78	13.34
	"Richmond County, GA"	"13245"	24.14	12.55
	"Rockdale County, GA"	"13247"	22.73	11.84
	"Schley County, GA"	"13249"	24.26	13.34
	"Screven County, GA"	"13251"	24.94	12.96
	"Seminole County, GA"	"13253"	25.58	13.78
	"Spalding County, GA"	"13255"	22.89	12.21
	"Stephens County, GA"	"13257"	21.86	11.91
	"Stewart County, GA"	"13259"	24.35	13.32
	"Sumter County, GA"	"13261"	24.78	13.26
	"Talbot County, GA"	"13263"	23.59	12.95
	"Taliaferro County, GA"	"13265"	23.42	11.95
	"Tattnall County, GA"	"13267"	25.49	13.31
	"Taylor County, GA"	"13269"	24.10	12.96
	"Telfair County, GA"	"13271"	25.40	13.16
	"Terrell County, GA"	"13273"	24.84	13.33
	"Thomas County, GA"	"13275"	25.45	13.79
	"Tift County, GA"	"13277"	25.17	13.70
	"Toombs County, GA"	"13279"	25.24	13.21
	"Towns County, GA"	"13281"	17.65	8.81
	"Treutlen County, GA"	"13283"	24.93	12.89
	"Troup County, GA"	"13285"	23.08	12.63
	"Turner County, GA"	"13287"	25.01	13.48
	"Twiggs County, GA"	"13289"	24.33	12.60
	"Union County, GA"	"13291"	18.14	9.40
	"Upson County, GA"	"13293"	23.39	12.74
	"Walker County, GA"	"13295"	21.03	11.06
	"Walton County, GA"	"13297"	22.65	11.69
	"Ware County, GA"	"13299"	26.07	14.00
	"Warren County, GA"	"13301"	23.70	12.07
	"Washington County, GA"	"13303"	24.27	12.68
	"Wayne County, GA"	"13305"	25.74	14.13
	"Webster County, GA"	"13307"	24.47	13.18
	"Wheeler County, GA"	"13309"	25.33	13.18
	"White County, GA"	"13311"	19.83	10.50
	"Whitfield County, GA"	"13313"	21.72	11.60
	"Wilcox County, GA"	"13315"	25.01	13.33
	"Wilkes County, GA"	"13317"	23.33	12.00
	"Wilkinson County, GA"	"13319"	24.39	12.68
	"Worth County, GA"	"13321"	25.09	13.63
	"Ada County, ID"	"16001"	16.67	7.23
	"Adams County, ID"	"16003"	10.51	1.91
	"Bannock County, ID"	"16005"	11.63	1.92
	"Bear Lake County, ID"	"16007"	9.31	-0.19
	"Benewah County, ID"	"16009"	12.61	3.68
	"Bingham County, ID"	"16011"	12.56	2.37
	"Blaine County, ID"	"16013"	9.97	0.89
	"Boise County, ID"	"16015"	10.16	1.52
	"Bonner County, ID"	"16017"	11.38	2.21
	"Bonneville County, ID"	"16019"	10.30	0.90
	"Boundary County, ID"	"16021"	9.77	0.47
	"Butte County, ID"	"16023"	10.64	1.38
	"Camas County, ID"	"16025"	9.37	0.72
	"Canyon County, ID"	"16027"	17.75	8.19
	"Caribou County, ID"	"16029"	9.77	0.31
	"Cassia County, ID"	"16031"	12.91	3.13
	"Clark County, ID"	"16033"	9.42	0.30
	"Clearwater County, ID"	"16035"	11.68	2.82
	"Custer County, ID"	"16037"	6.56	-3.01
	"Elmore County, ID"	"16039"	13.22	4.22
	"Franklin County, ID"	"16041"	11.68	2.09
	"Fremont County, ID"	"16043"	9.40	0.52
	"Gem County, ID"	"16045"	14.99	5.94
	"Gooding County, ID"	"16047"	15.02	5.01
	"Idaho County, ID"	"16049"	9.81	0.46
	"Jefferson County, ID"	"16051"	12.66	2.86
	"Jerome County, ID"	"16053"	15.46	4.77
	"Kootenai County, ID"	"16055"	12.64	3.38
	"Latah County, ID"	"16057"	13.39	4.49
	"Lemhi County, ID"	"16059"	7.48	-2.63
	"Lewis County, ID"	"16061"	13.12	3.55
	"Lincoln County, ID"	"16063"	14.36	4.17
	"Madison County, ID"	"16065"	10.89	1.93
	"Minidoka County, ID"	"16067"	14.44	4.35
	"Nez Perce County, ID"	"16069"	15.08	5.34
	"Oneida County, ID"	"16071"	12.37	2.77
