Topic = [‘environment’, ‘transmission’]
,pub_date,title,author,sentence
10,2020-04-30,Investigating the cases of novel coronavirus disease (COVID-19) in China using dynamic statistical techniques,"Sarkodie, et. al","Due to the complexities of the covid-19, we investigated the unobserved factors including environmental exposures accounting for the spread of the disease through human-to-human transmission."
11,2020-02-17,The role of absolute humidity on transmission rates of the COVID-19 outbreak,Wei et. al,"Previous studies have supported an epidemiological hypothesis that cold and dry (low absolute humidity) environments facilitate the survival and spread of droplet-mediated viral diseases, and warm and humid (high absolute humidity) environments see attenuated viral transmission (i.e., influenza)."
12,2020-02-27,"Clinical features and sexual transmission potential of SARS-CoV-2 infected female patients: a descriptive study in Wuhan, China",Pengfei et. al,"To examine whether there is sexual transmission through vaginal from female to her partner, we employed real-time polymerase chain reaction testing (rt-pcr) to detect sars-cov-2 in vaginal environment (including vaginal discharge, cervical or vaginal residual exfoliated cells) and anal swab samples, and inquired recent sexual behaviors from the patients."
13,2020-03-03,Closed environments facilitate secondary transmission of coronavirus disease 2019 (COVID-19),Hiroshi et. al,We show that closed environments contribute to secondary transmission of covid-19 and promote superspreading events.Closed environments are consistent with large-scale covid-19 transmission events such as that of the ski chalet-associated cluster in france and the church- and hospital-associated clusters in south korea.Reduction of unnecessary close contact in closed environments may help prevent large case clusters and superspreading events.closed environments facilitate secondary transmission of coronavirus disease 2019 (covid-19).
14,2020-04-07,Indoor transmission of SARS-CoV-2,Hua et. al,"Conclusions: all identified outbreaks of three or more cases occurred in an indoor environment, which confirms that sharing indoor space is a major sars-cov-2 infection risk.indoor transmission of sars-cov-2."
15,2020-04-11,Two mechanisms for accelerated diffusion of COVID-19 outbreaks in regions with high intensity of population and polluting industrialization: the air pollution-to-human and human-to-human transmission dynamics,Mario Coccia,"O the results reveal that accelerated transmission dynamics of covid-19 in specific environments is due to two mechanisms given by: air pollution-to-human transmission and human-to-human transmission; in particular, the mechanisms of air pollution-to-human transmission play a critical role rather than human-to-human transmission.What is a socioeconomic strategy to prevent future epidemics similar to covid-19? considering the complex interaction between air pollution, meteorological conditions and biological characteristics of viral infectivity, lessons learned for covid-19 have to be applied for a proactive socioeconomic strategy to cope with future epidemics, especially an environmental policy based on reduction of air pollution mainly in hinterland zones of countries, having low wind speed, high percentage of moisture and fog that create an environment that can damage immune system of people and foster a fast transmission of viral infectivity similar to the covid-19.This study must conclude that a strategy to prevent future epidemics similar to covid 19 has also to be designed in environmental and sustainability science and not only in terms of biology.two mechanisms for accelerated diffusion of covid-19 outbreaks in regions with high intensity of population and polluting industrialization: the air pollution-to-human and human-to-human transmission dynamics."
16,2020-04-10,Textile Masks and Surface Covers - A 'Universal Droplet Reduction Model' Against Respiratory Pandemics,Alexander et. al,"However, given that asymptomatic individuals, not wearing masks within the public, can be highly contagious for covid-19, prevention of environmental droplet contamination (endc) from coughing/sneezing/speech is fundamental to reducing transmission."
17,2020-04-17,Estimation of airborne viral emission: quanta emission rate of SARS-CoV-2 for infection risk assessment,Giorgio et. al,"While the medical research area dedicates efforts to find cures and remedies to counteract the effects of a virus, the engineering area is involved in providing risk assessments in indoor environments by simulating the airborne transmission of the virus during an epidemic."
18,2020-04-22,Evidence for probable aerosol transmission of SARS-CoV-2 in a poorly ventilated restaurant,Yuguo et. al,"We analysed an outbreak involving three non-associated families in restaurant x in guangzhou, china, and assessed the possibility of aerosol transmission of sars-cov-2 and characterize the associated environmental conditions."
19,2020-04-24,"Genomic, geographic and temporal distributions of SARS-CoV-2 mutations",Hsin-Chou et. al,"Mutations in the viral genome have critical impacts on the adaptation of viral strains to the local environment, and may alter the characteristics of viral transmission, disease manifestation, and the efficacy of treatment and vaccination."
20,2020-04-26,Taking Account of Asymptomatic Infections in Modeling the Transmission Potential of the COVID-19 Outbreak on the Diamond Princess Cruise Ship,Li-Shan et. al,"We take the case of the diamond princess (dp) cruise ship as an experimental model for studying the transmission potential of covid-19 in a closed environment.We find evidence to support a cdc report that ""a high proportion of asymptomatic infections could partially explain the high attack rate among cruise ship passengers and crew."" this emphasizes the importance of improved reporting and quarantine of asymptomatic cases, and raises questions on quarantine procedures in closed environments such as military vessels, cruise ships, dormitories, prisons, and other enclosed living complexes with high population densities.taking account of asymptomatic infections in modeling the transmission potential of the covid-19 outbreak on the diamond princess cruise ship."
21,2020-04-25,Will COVID-19 pandemic diminish by summer-monsoon in India? Lesson from the first lockdown,Sarvan Kumar,These viral transmissions found attenuated in warm and humid (high absolute humidity) environments.
22,2020-03-04,"Air, Surface Environmental, and Personal Protective Equipment Contamination by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) From a Symptomatic Patient","Ong, et. al","Coronaviruses have been implicated in nosocomial outbreaks with environmental contamination as a route of transmission.However, the mode of transmission and extent of environmental contamination are unknown.air, surface environmental, and personal protective equipment contamination by severe acute respiratory syndrome coronavirus 2 (sars-cov-2) from a symptomatic patient."
23,2020,How Ophthalmologists Should Understand and Respond to the Current Epidemic of Novel Coronavirus Pneumonia (COVID-19),"ZHIJIE, Li","These measures include 1) wearing an efficient mask (an n95 mask); 2) always performing hand hygiene before and after examining a patient; (3) wearing sterile gloves when entering a patient&rsquo;s room and touching a patient; (4) wearing a gown when contact is expected with items and environmental surfaces surrounding a patient or when the patient is incontinent or has diarrhea or a surgical or other invasive wound with oozing fluid; 5) cleaning and disinfecting ophthalmic equipment and correctly handling medical waste after examination to prevent transmission to patients who are subsequently examined; 6) wearing goggles and a disposable mask to cover the front and sides of the face before touching a patient, as the virus could spread through the ocular surface; 7) performing the relevant screening for novel coronavirus pneumonia for regular patients who have conjunctivitis and respiratory symptoms at the same time; 8) prohibiting the use of infected patients as potential donors for corneal transplants and temporarily adding donor sars-cov-2 screening to the medical standard of the eye bank during the outbreak; and 9) for the purposes of scientific research, diagnosis, and other special needs, packing, shipping, and transporting collected specimens according to the relevant dangerous biological goods regulations.how ophthalmologists should understand and respond to the current epidemic of novel coronavirus pneumonia (covid-19)."
24,2020-03-31,Controlling the Transmission Dynamics of COVID-19,Stephen et. al,"We investigate three control strategies for this deadly infectious disease using personal protection, treatment with early diagnosis, treatment with delay diagnosis and spraying of virus in the environment as time-dependent control functions in our dynamical model to curb the disease spread.controlling the transmission dynamics of covid-19."
